Ensembl_gene	GeneID	Symbol	Alias	Type	Family
ENSG00000172379	9915	ARNT2	-	TF	bHLH
ENSG00000173673	390992	HES3	-	TF	bHLH
ENSG00000175727	22877	MLXIP	-	TF	bHLH
ENSG00000176009	56676	ASCL3	-	TF	bHLH
ENSG00000176542	205717	KIAA2018	-	TF	bHLH
ENSG00000177468	167826	OLIG3	-	TF	bHLH
ENSG00000177551	4808	NHLH2	-	TF	bHLH
ENSG00000178403	63973	NEUROG2	-	TF	bHLH
ENSG00000178860	9242	MSC	-	TF	bHLH
ENSG00000179111	84667	HES7	-	TF	bHLH
ENSG00000179774	220202	ATOH7	-	TF	bHLH
ENSG00000180535	168620	BHLHA15	-	TF	bHLH
ENSG00000180828	27319	BHLHE22	-	TF	bHLH
ENSG00000181965	4762	NEUROG1	-	TF	bHLH
ENSG00000183733	344018	FIGLA	-	TF	bHLH
ENSG00000183734	430	ASCL2	-	TF	bHLH
ENSG00000184221	116448	OLIG1	-	TF	bHLH
ENSG00000186051	6887	TAL2	-	TF	bHLH
ENSG00000187098	4286	MITF	-	TF	bHLH
ENSG00000187786	642658	SCXB	-	TF	bHLH
ENSG00000187821	391723	HELT	-	TF	bHLH
ENSG00000187855	121549	ASCL4	-	TF	bHLH
ENSG00000188095	145873	MESP2	-	TF	bHLH
ENSG00000188290	57801	HES4	-	TF	bHLH
ENSG00000188686	100129885	SCXA	-	TF	bHLH
ENSG00000196628	6925	TCF4	-	TF	bHLH
ENSG00000197921	388585	HES5	-	TF	bHLH
ENSG00000198911	6721	SREBF2	-	TF	bHLH
ENSG00000205899	727857	BHLHA9	-	TF	bHLH
ENSG00000205927	10215	OLIG2	-	TF	bHLH
ENSG00000213347	83463	MXD3	-	TF	bHLH
ENSG00000233608	117581	TWIST2	-	TF	bHLH
ENSG00000237452	388553	LOC388553	-	TF	bHLH
ENSG00000250709	100526761	C13orf38-SOHLH2	-	TF	bHLH
ENSG00000092067	1053	CEBPE	-	TF	C/EBP
ENSG00000100219	7494	XBP1	-	TF	C/EBP
ENSG00000123685	55509	BATF3	-	TF	C/EBP
ENSG00000146592	9586	CREB5	-	TF	C/EBP
ENSG00000153879	1054	CEBPG	-	TF	C/EBP
ENSG00000162772	467	ATF3	-	TF	C/EBP
ENSG00000170653	11016	ATF7	-	TF	C/EBP
ENSG00000172216	1051	CEBPB	-	TF	C/EBP
ENSG00000221869	1052	CEBPD	-	TF	C/EBP
ENSG00000245848	1050	CEBPA	-	TF	C/EBP
ENSG00000067955	865	CBFB	-	TF	CBF
ENSG00000108509	23125	CAMTA2	-	TF	CG-1
ENSG00000171735	23261	CAMTA1	-	TF	CG-1
ENSG00000088881	57593	EBF4	-	TF	COE
ENSG00000108001	253738	EBF3	-	TF	COE
ENSG00000164330	1879	EBF1	-	TF	COE
ENSG00000221818	64641	EBF2	-	TF	COE
ENSG00000160113	2063	NR2F6	-	TF	COUP
ENSG00000175745	7025	NR2F1	-	TF	COUP
ENSG00000185551	7026	NR2F2	-	TF	COUP
ENSG00000083307	79977	GRHL2	-	TF	CP2
ENSG00000115112	29842	TFCP2L1	-	TF	CP2
ENSG00000134317	29841	GRHL1	-	TF	CP2
ENSG00000135457	7024	TFCP2	-	TF	CP2
ENSG00000153560	7342	UBP1	-	TF	CP2
ENSG00000158055	57822	GRHL3	-	TF	CP2
ENSG00000223399	-	-	-	TF	CP2
ENSG00000006047	51087	YBX2	-	TF	CSD
ENSG00000009307	7812	CSDE1	-	TF	CSD
ENSG00000060138	8531	CSDA	-	TF	CSD
ENSG00000065978	4904	YBX1	-	TF	CSD
ENSG00000131914	79727	LIN28A	-	TF	CSD
ENSG00000153048	23589	CARHSP1	-	TF	CSD
ENSG00000172346	27254	CSDC2	-	TF	CSD
ENSG00000187772	389421	LIN28B	-	TF	CSD
ENSG00000124232	-	-	-	TF	CSL
ENSG00000168214	-	-	-	TF	CSL
ENSG00000008441	4784	NFIX	-	TF	CTF/NFI
ENSG00000141905	4782	NFIC	-	TF	CTF/NFI
ENSG00000147862	4781	NFIB	-	TF	CTF/NFI
ENSG00000162599	4774	NFIA	-	TF	CTF/NFI
ENSG00000111249	23316	CUX2	-	TF	CUT
ENSG00000119547	9480	ONECUT2	-	TF	CUT
ENSG00000160967	1523	CUX1	-	TF	CUT
ENSG00000169856	3175	ONECUT1	-	TF	CUT
ENSG00000182568	6304	SATB1	-	TF	CUT
ENSG00000205922	390874	ONECUT3	-	TF	CUT
ENSG00000119042	23314	SATB2	-	TF	CUT
ENSG00000064218	58524	DMRT3	-	TF	DM
ENSG00000137090	1761	DMRT1	-	TF	DM
ENSG00000142025	63946	DMRTC2	-	TF	DM
ENSG00000142700	63950	DMRTA2	-	TF	DM
ENSG00000143006	63948	DMRTB1	-	TF	DM
ENSG00000173253	10655	DMRT2	-	TF	DM
ENSG00000176399	63951	DMRTA1	-	TF	DM
ENSG00000007968	1870	E2F2	-	TF	E2F
ENSG00000101412	1869	E2F1	-	TF	E2F
ENSG00000112242	1871	E2F3	-	TF	E2F
ENSG00000114126	7029	TFDP2	-	TF	E2F
ENSG00000129173	79733	E2F8	-	TF	E2F
ENSG00000133740	1875	E2F5	-	TF	E2F
ENSG00000165891	144455	E2F7	-	TF	E2F
ENSG00000169016	1876	E2F6	-	TF	E2F
ENSG00000183434	51270	TFDP3	-	TF	E2F
ENSG00000198176	7027	TFDP1	-	TF	E2F
ENSG00000205250	1874	E2F4	-	TF	E2F
ENSG00000025434	10062	NR1H3	-	TF	Ecdystd_receptor
ENSG00000131408	7376	NR1H2	-	TF	Ecdystd_receptor
ENSG00000006468	2115	ETV1	-	TF	ETS
ENSG00000010030	51513	ETV7	-	TF	ETS
ENSG00000066336	6688	SPI1	-	TF	ETS
ENSG00000102034	2000	ELF4	-	TF	ETS
ENSG00000105672	2116	ETV2	-	TF	ETS
ENSG00000105722	2077	ERF	-	TF	ETS
ENSG00000109381	1998	ELF2	-	TF	ETS
ENSG00000111145	2004	ELK3	-	TF	ETS
ENSG00000117036	2117	ETV3	-	TF	ETS
ENSG00000120690	1997	ELF1	-	TF	ETS
ENSG00000124664	25803	SPDEF	-	TF	ETS
ENSG00000126767	2002	ELK1	-	TF	ETS
ENSG00000134954	2113	ETS1	-	TF	ETS
ENSG00000135373	26298	EHF	-	TF	ETS
ENSG00000135374	2001	ELF5	-	TF	ETS
ENSG00000139083	2120	ETV6	-	TF	ETS
ENSG00000142539	6689	SPIB	-	TF	ETS
ENSG00000151702	2313	FLI1	-	TF	ETS
ENSG00000154727	2551	GABPA	-	TF	ETS
ENSG00000157554	2078	ERG	-	TF	ETS
ENSG00000157557	2114	ETS2	-	TF	ETS
ENSG00000158711	2005	ELK4	-	TF	ETS
ENSG00000163435	1999	ELF3	-	TF	ETS
ENSG00000163497	54738	FEV	-	TF	ETS
ENSG00000166211	121599	SPIC	-	TF	ETS
ENSG00000175832	2118	ETV4	-	TF	ETS
ENSG00000235187	-	-	-	TF	ETS
ENSG00000244405	2119	ETV5	-	TF	ETS
ENSG00000253831	-	-	-	TF	ETS
ENSG00000053254	1112	FOXN3	-	TF	Fork_head
ENSG00000054598	2296	FOXC1	-	TF	Fork_head
ENSG00000065970	55810	FOXJ2	-	TF	Fork_head
ENSG00000103241	2294	FOXF1	-	TF	Fork_head
ENSG00000109101	8456	FOXN1	-	TF	Fork_head
ENSG00000111206	2305	FOXM1	-	TF	Fork_head
ENSG00000114861	27086	FOXP1	-	TF	Fork_head
ENSG00000118689	2309	FOXO3	-	TF	Fork_head
ENSG00000125798	3170	FOXA2	-	TF	Fork_head
ENSG00000128573	93986	FOXP2	-	TF	Fork_head
ENSG00000129654	2302	FOXJ1	-	TF	Fork_head
ENSG00000137166	116113	FOXP4	-	TF	Fork_head
ENSG00000137273	2295	FOXF2	-	TF	Fork_head
ENSG00000139445	121643	FOXN4	-	TF	Fork_head
ENSG00000141568	3607	FOXK2	-	TF	Fork_head
ENSG00000150907	2308	FOXO1	-	TF	Fork_head
ENSG00000160973	8928	FOXH1	-	TF	Fork_head
ENSG00000164379	94234	FOXQ1	-	TF	Fork_head
ENSG00000164916	221937	FOXK1	-	TF	Fork_head
ENSG00000168269	2299	FOXI1	-	TF	Fork_head
ENSG00000170122	2298	FOXD4	-	TF	Fork_head
ENSG00000170608	3171	FOXA3	-	TF	Fork_head
